id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk
ECA0101,Ecuador,Azuay,Cuenca,,canton,2,A,218,EC-A,ECU,EC,"Cuenca, Azuay, Ecuador",163.9458675,611845.9777,51992.22559,0.084976003,-79.21998322,-2.861475391,115.6978552,63.57477702,255.0158177
ECA0102,Ecuador,Azuay,Giron,,canton,2,A,218,EC-A,ECU,EC,"Giron, Azuay, Ecuador",36.74701102,15213.26256,2185.027008,0.14362645,-79.15934165,-3.179486676,39.16707617,16.78151998,97.28009828
ECA0103,Ecuador,Azuay,Gualaceo,,canton,2,A,218,EC-A,ECU,EC,"Gualaceo, Azuay, Ecuador",127.5274819,52413.79507,5893.672546,0.11244506,-78.84493133,-2.917848875,37.19950739,25.80206448,76.52216749
ECA0104,Ecuador,Azuay,Nabon,,canton,2,A,218,EC-A,ECU,EC,"Nabon, Azuay, Ecuador",25.87053005,19170.06276,2432.846021,0.12690862,-79.11888276,-3.329783141,79.76510067,22.83426712,85.00268456
ECA0105,Ecuador,Azuay,Paute,,canton,2,A,218,EC-A,ECU,EC,"Paute, Azuay, Ecuador",99.14803766,31429.92794,3866.837013,0.12303042,-78.68166452,-2.710826563,37.85266458,21.38283047,105.9341693
ECA0106,Ecuador,Azuay,Pucara,,canton,2,A,218,EC-A,ECU,EC,"Pucara, Azuay, Ecuador",17.82115377,12278.77495,1457.078345,0.11866643,-79.52749603,-3.192427141,132.6401734,79.75224651,283.9436416
ECA0107,Ecuador,Azuay,San Fernando,,canton,2,A,218,EC-A,ECU,EC,"San Fernando, Azuay, Ecuador",29.43985668,4887.016209,800.9729083,0.16389816,-79.26803015,-3.132711917,76.60946746,35.19231334,197.260355
ECA0108,Ecuador,Azuay,Santa Isabel,,canton,2,A,218,EC-A,ECU,EC,"Santa Isabel, Azuay, Ecuador",31.49585871,22173.08453,2410.898557,0.10873086,-79.36348171,-3.202338424,98.9844413,36.77445778,195.0664781
ECA0109,Ecuador,Azuay,Sigsig,,canton,2,A,218,EC-A,ECU,EC,"Sigsig, Azuay, Ecuador",41.33113331,32610.26418,3962.963821,0.12152504,-78.85390493,-3.129850837,98.20807062,57.82596284,161.3366961
ECA0110,Ecuador,Azuay,Ona,,canton,2,A,218,EC-A,ECU,EC,"Ona, Azuay, Ecuador",12.69579567,4354.657915,716.0005399,0.16442177,-79.1306218,-3.489181118,93.79351032,37.33893815,120.1415929
ECA0111,Ecuador,Azuay,Chordeleg,,canton,2,A,218,EC-A,ECU,EC,"Chordeleg, Azuay, Ecuador",117.6385139,14351.8987,1736.054154,0.12096338,-78.73352521,-2.995709554,64.84677419,41.8548315,99.04032258
ECA0112,Ecuador,Azuay,El Pan,,canton,2,A,218,EC-A,ECU,EC,"El Pan, Azuay, Ecuador",23.78021007,3662.15235,765.931764,0.20914797,-78.65468777,-2.857735713,174.2774194,147.3572107,202.5483871
ECA0113,Ecuador,Azuay,Sevilla De Oro,,canton,2,A,218,EC-A,ECU,EC,"Sevilla De Oro, Azuay, Ecuador",19.32059828,7090.65957,902.4694023,0.12727581,-78.54195451,-2.659535162,140,117.0994918,344.5819672
ECA0114,Ecuador,Azuay,Guachapala,,canton,2,A,218,EC-A,ECU,EC,"Guachapala, Azuay, Ecuador",88.28476257,3972.814316,643.3166432,0.1619297,-78.69654048,-2.783194078,32.36363636,8.853318968,70.97727273
ECA0115,Ecuador,Azuay,Camilo Ponce Enriquez,,canton,2,A,218,EC-A,ECU,EC,"Camilo Ponce Enriquez, Azuay, Ecuador",35.38498182,26361.81146,1350.777645,0.051239941,-79.59863287,-2.97784424,144.8644295,71.73648978,283.6684564
ECB0201,Ecuador,Bolivar,Guaranda,,canton,2,B,218,EC-B,ECU,EC,"Guaranda, Bolivar, Ecuador",45.51238853,101356.0893,15137.13097,0.14934604,-79.04949703,-1.414620412,81.76871055,40.19119263,157.4977457
ECB0202,Ecuador,Bolivar,Chillanes,,canton,2,B,218,EC-B,ECU,EC,"Chillanes, Bolivar, Ecuador",24.79746271,19193.23614,2531.192689,0.1318794,-79.1211132,-2.01157654,110.4365285,41.06511728,143.3873057
