id,iso2,iso1_3n,iso1_3c,iso1_2c,iso2_uid,admin,admin0,admin1,admin2,admin3,level,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk,nameid
CLAI1,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Aysen,,Municipality,0.64623106,31838.512,2961.5774,0.093018711,-73.774658,-45.989853,771.60657,581.60065,2229.6619,"Aysen, Chile"
CLAI10,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Rio Ibanez,,Municipality,0.18704776,1796.0326,316.01376,0.17595102,-72.486908,-46.299606,335.15054,262.39398,610.50989,"Aysen, Chile"
CLAI11,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Tortel,,Municipality,0.024284448,837.18207,79.737411,0.095245004,-74.154526,-48.032581,1040.7275,754.47052,2679.1826,"Aysen, Chile"
CLAI2,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Chile Chico,,Municipality,0.71685767,6400.1055,836.78949,0.1307462,-72.586922,-46.76717,472.82004,316.47379,775.02539,"Aysen, Chile"
CLAI3,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Cisnes,,Municipality,0.25585917,6383.4302,478.52597,0.074963763,-73.136688,-44.456944,491.21301,322.05725,1366.3999,"Aysen, Chile"
CLAI4,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Cochrane,,Municipality,0.18654437,2720.1902,257.9668,0.094834104,-72.742401,-47.359085,557.55408,342.14996,765.47821,"Aysen, Chile"
CLAI5,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Coyhaique,,Municipality,5.74793,69302.789,6571.3086,0.094820261,-71.992218,-45.55439,196.36128,161.7567,526.62268,"Aysen, Chile"
CLAI7,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Guaitecas,,Municipality,1.9128306,1930.046,184.22673,0.095451988,-73.813759,-43.945766,387.03088,311.68332,3315.6094,"Aysen, Chile"
CLAI8,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Lago Verde,,Municipality,0.096706823,854.40479,103.8807,0.12158254,-71.834305,-44.492481,509.27295,331.51334,1145.5867,"Aysen, Chile"
CLAI9,AI,152,CHL,CL,CL-AI,2,Chile,Aysen,Ohiggins,,Municipality,0.088748075,1151.8613,101.67302,0.088268451,-72.881424,-48.467129,802.04401,520.974,1281.3748,"Aysen, Chile"
CLAN1,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Antofagasta,,Municipality,11.790346,463608.22,44926.348,0.09690585,-69.405266,-24.278303,435.64819,270.59058,991.27948,"Antofagasta, Chile"
CLAN10,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Tocopilla,,Municipality,3.4641378,17982.34,2166.7017,0.12049053,-70.017532,-22.002796,294.69046,176.84123,659.64673,"Antofagasta, Chile"
CLAN2,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Calama,,Municipality,8.2811508,162293.98,11174.103,0.068850994,-68.629326,-22.168104,260.79767,221.56348,871.79907,"Antofagasta, Chile"
CLAN4,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Maria Elena,,Municipality,0.11292163,1755.3667,66.395058,0.037824038,-69.465836,-22.094164,322.63977,268.00232,881.10431,"Antofagasta, Chile"
CLAN5,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Mejillones,,Municipality,3.0727291,13928.681,1029.5128,0.073913164,-70.203491,-22.947752,266.83359,132.39537,792.88043,"Antofagasta, Chile"
CLAN6,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Ollague,,Municipality,0.054742143,201.72479,13.935651,0.069082491,-68.315453,-21.457283,247.01283,187.15529,936.5614,"Antofagasta, Chile"
CLAN7,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,San Pedro De Atacama,,Municipality,0.5971812,17920.213,2139.8652,0.1194107,-67.909576,-23.403931,353.62085,233.21767,1214.7328,"Antofagasta, Chile"
CLAN8,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Sierra Gorda,,Municipality,0.38190398,6261.3159,290.75732,0.046437096,-69.308914,-23.260221,316.48712,230.10007,926.45697,"Antofagasta, Chile"
CLAN9,AN,152,CHL,CL,CL-AN,2,Chile,Antofagasta,Taltal,,Municipality,0.37526834,9893.1992,1083.209,0.10949026,-69.861549,-25.310318,421.80826,237.32709,1049.4202,"Antofagasta, Chile"
CLAP1,AP,152,CHL,CL,CL-AP,2,Chile,Arica Y Parinacota,Arica,,Municipality,28.53624,169219.91,18686.004,0.11042438,-69.972221,-18.532457,193.6586,120.75414,540.00928,"Arica y Parinacota, Chile"
CLAP2,AP,152,CHL,CL,CL-AP,2,Chile,Arica Y Parinacota,Camarones,,Municipality,0.49421844,2392.0173,366.37573,0.153166,-69.715157,-18.937338,268.32745,169.24025,984.77954,"Arica y Parinacota, Chile"
CLAP4,AP,152,CHL,CL,CL-AP,2,Chile,Arica Y Parinacota,General Lagos,,Municipality,0.47402307,1310.1998,212.23973,0.16199034,-69.57164,-17.830448,212.88837,116.92657,674.0932,"Arica y Parinacota, Chile"
CLAP5,AP,152,CHL,CL,CL-AP,2,Chile,Arica Y Parinacota,Putre,,Municipality,0.11724053,848.46973,152.99796,0.18032223,-69.311485,-18.428013,279.31497,113.68156,462.33948,"Arica y Parinacota, Chile"
CLAR1,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Angol,,Municipality,30.612614,53939.426,7047.646,0.13065852,-72.795868,-37.768177,78.979568,35.049149,211.31952,"Araucania, Chile"
CLAR10,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Freire,,Municipality,21.722033,28260.365,3946.6531,0.1396533,-72.587708,-38.954433,26.708141,13.67764,113.49693,"Araucania, Chile"
CLAR11,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Galvarino,,Municipality,11.366986,9559.6348,1357.0829,0.1419597,-72.791542,-38.447956,41.880951,13.286325,102.45,"Araucania, Chile"
CLAR12,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Gorbea,,Municipality,15.297033,15832.429,2561.3604,0.16177937,-72.669266,-39.171856,51.93998,19.354,113.43079,"Araucania, Chile"
CLAR13,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Lautaro,,Municipality,29.978228,40500.586,4997.0273,0.12338161,-72.289185,-38.543293,36.621483,19.999546,143.7726,"Araucania, Chile"
CLAR14,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Loncoche,,Municipality,14.28406,20926.148,3096.3484,0.14796552,-72.583237,-39.355911,68.249313,20.825989,131.26981,"Araucania, Chile"
CLAR15,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Lonquimay,,Municipality,2.2649131,13211.238,1552.5801,0.11751965,-71.239075,-38.474598,196.74471,77.628525,357.93365,"Araucania, Chile"
CLAR16,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Los Sauces,,Municipality,4.1652322,5223.2007,803.50073,0.15383302,-72.796616,-37.98262,73.523888,22.830585,147.23805,"Araucania, Chile"
CLAR17,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Lumaco,,Municipality,5.5821166,9171.417,1197.7533,0.13059632,-73.046333,-38.286945,90.504265,28.985037,176.62241,"Araucania, Chile"
CLAR18,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Melipeuco,,Municipality,3.128202,5177.1743,847.16174,0.163634,-71.61055,-38.824745,138.82399,73.543823,240.13382,"Araucania, Chile"
CLAR19,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Nueva Imperial,,Municipality,32.395966,35214.414,5277.5488,0.14986899,-72.972076,-38.751278,39.152573,17.036158,131.88786,"Araucania, Chile"
CLAR2,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Carahue,,Municipality,12.885841,25668.596,3560.5007,0.13871038,-73.269836,-38.610855,72.767105,21.513489,150.71327,"Araucania, Chile"
CLAR20,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Padre Las Casas,,Municipality,151.65953,104341.75,10749.567,0.10302269,-72.555527,-38.802219,10.951965,7.3579159,66.758369,"Araucania, Chile"
CLAR21,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Perquenco,,Municipality,15.491377,7621.7573,1102.2701,0.14462152,-72.436859,-38.428005,32.089249,12.87691,107.17444,"Araucania, Chile"
CLAR22,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Pitrufquen,,Municipality,29.736471,25870.73,4188.9082,0.1619169,-72.663292,-39.083256,35.365715,15.425087,130.13257,"Araucania, Chile"
CLAR23,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Pucon,,Municipality,28.213354,50247.984,5340.5552,0.10628397,-71.792595,-39.271229,121.09057,50.767586,284.8114,"Araucania, Chile"
CLAR24,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Puren,,Municipality,14.98537,10220.022,1501.6661,0.14693373,-73.049767,-38.011753,80.07299,13.731228,86.890511,"Araucania, Chile"
CLAR25,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Renaico,,Municipality,23.296907,9178.9814,1243.082,0.13542701,-72.575623,-37.71748,40.987278,17.801945,111.0687,"Araucania, Chile"
CLAR26,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Saavedra,,Municipality,21.707767,12438.551,2008.1698,0.16144724,-73.295616,-38.832596,53.640335,8.3865051,69.157982,"Araucania, Chile"
CLAR27,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Temuco,,Municipality,562.02844,393419.94,41346.551,0.10509521,-72.668114,-38.673328,12.311874,8.9478683,83.444923,"Araucania, Chile"
CLAR28,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Teodoro Schmidt,,Municipality,16.555384,16273.941,2403.2283,0.1476734,-73.128227,-39.005867,55.150307,13.769924,122.02454,"Araucania, Chile"
CLAR29,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Tolten,,Municipality,7.0249314,9012.9873,1340.3599,0.14871427,-73.065849,-39.217098,82.059563,29.989859,174.4232,"Araucania, Chile"
CLAR3,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Cholchol,,Municipality,18.819824,11950.589,1785.8489,0.14943606,-72.902664,-38.582817,41.971699,19.129105,100.16982,"Araucania, Chile"
CLAR30,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Traiguen,,Municipality,12.458273,16656.711,2598.8923,0.15602674,-72.654938,-38.246597,61.712349,19.896944,145.39684,"Araucania, Chile"
CLAR31,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Victoria,,Municipality,17.282221,32335.035,4523.563,0.13989665,-72.233032,-38.28051,59.616535,19.426785,146.63947,"Araucania, Chile"
CLAR32,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Vilcun,,Municipality,12.278715,25944.926,3323.1714,0.1280856,-72.116409,-38.704624,61.406986,36.934029,194.77573,"Araucania, Chile"
CLAR33,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Villarrica,,Municipality,43.159256,75615.023,9250.5469,0.12233742,-72.183922,-39.301216,71.108536,20.68576,149.50566,"Araucania, Chile"
CLAR4,AR,152,CHL,CL,CL-AR,2,Chile,Araucania,Collipulli,,Municipality,10.710859,20629.115,2634.4587,0.12770586,-72.124382,-38.026123,93.69371,52.935844,330.35257,"Araucania, Chile"
