id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLAN1,Chile,Antofagasta,Antofagasta,,2020-05-29,152.0,-0.45589,0.40787,423.70049870199995,11.790346145629881,463608.21875,44926.34765625,0.09690585,-69.405266,-24.278303,435.64819000000006,270.59058,991.27948,78.24,68.49,72.92,37.5
CLAN2,Chile,Antofagasta,Calama,,2020-05-29,113.0,,,260.780454197,8.281150817871094,162293.984375,11174.1025390625,0.068850994,-68.629326,-22.168104,260.79767000000004,221.56348,871.7990699999998,78.24,68.49,72.92,37.5
CLAN4,Chile,Antofagasta,Maria Elena,,2020-05-29,7.0,,,322.686636241,0.1129216253757477,1755.36669921875,66.39505767822266,0.037824038,-69.465836,-22.094164000000006,322.63977,268.00232,881.1043099999998,78.24,68.49,72.92,37.5
CLAN5,Chile,Antofagasta,Mejillones,,2020-05-29,17.0,,,187.731777142,3.072729110717773,13928.6806640625,1029.512817382813,0.073913164,-70.203491,-22.947752,266.83359,132.39537,792.8804299999998,78.24,68.49,72.92,37.5
CLAN6,Chile,Antofagasta,Ollague,,2020-05-29,0.0,,,246.97654118900002,0.0547421425580978,201.72479248046884,13.93565082550049,0.069082491,-68.315453,-21.457283,247.01283,187.15529,936.5614,78.24,68.49,72.92,37.5
CLAN7,Chile,Antofagasta,San Pedro de Atacama,,2020-05-29,3.0,,,353.62971226900004,0.5971812009811401,17920.212890625,2139.865234375,0.1194107,-67.909576,-23.403931,353.62085,233.21767000000003,1214.7328,78.24,68.49,72.92,37.5
CLAN8,Chile,Antofagasta,Sierra Gorda,,2020-05-29,0.0,,,316.473147809,0.3819039762020111,6261.31591796875,290.75732421875,0.046437096,-69.308914,-23.260221,316.48712,230.10007,926.45697,78.24,68.49,72.92,37.5
CLAN9,Chile,Antofagasta,Taltal,,2020-05-29,1.0,,,419.842057351,0.3752683401107788,9893.19921875,1083.208984375,0.10949026,-69.861549,-25.310318,421.80826,237.32709,1049.4202,78.24,68.49,72.92,37.5
CLAN10,Chile,Antofagasta,Tocopilla,,2020-05-29,2.0,-0.27446,0.24775,195.61987290599998,3.46413779258728,17982.33984375,2166.70166015625,0.12049053,-70.01753199999999,-22.002796,294.6904600000001,176.84123,659.6467299999998,78.24,68.49,72.92,37.5
CLAR1,Chile,Araucania,Angol,,2020-05-29,11.0,,,78.9625638117,30.61261367797852,53939.42578125,7047.64599609375,0.13065852,-72.795868,-37.768177,78.979568,35.049149,211.31952,78.24,68.49,72.92,37.5
CLAR2,Chile,Araucania,Carahue,,2020-05-29,5.0,,,57.614766448999994,12.885841369628912,25668.595703125,3560.500732421875,0.13871038,-73.269836,-38.610855,72.767105,21.513489,150.71327,78.24,68.49,72.92,37.5
CLAR3,Chile,Araucania,Cholchol,,2020-05-29,0.0,,,41.9466248038,18.81982421875,11950.5888671875,1785.848876953125,0.14943606,-72.902664,-38.582817,41.971699,19.129105,100.16982,78.24,68.49,72.92,37.5
CLAR4,Chile,Araucania,Collipulli,,2020-05-29,6.0,,,93.78355879290001,10.710859298706053,20629.115234375,2634.458740234375,0.12770586,-72.124382,-38.026123,93.69371,52.935844,330.35257,78.24,68.49,72.92,37.5
CLAR5,Chile,Araucania,Cunco,,2020-05-29,3.0,,,85.7160581354,7.053142070770264,19438.4609375,3078.3291015625,0.15836281,-71.99200400000002,-38.977291,85.683685,45.18853,234.89043,78.24,68.49,72.92,37.5
CLAR6,Chile,Araucania,Curacautin,,2020-05-29,0.0,,,97.2858302883,5.664896965026856,13935.6474609375,2120.587158203125,0.15216997,-71.771935,-38.427109,97.285828,39.579086,197.22006,78.24,68.49,72.92,37.5
CLAR7,Chile,Araucania,Curarrehue,,2020-05-29,0.0,,,174.965733866,5.086892127990723,8881.712890625,1173.71875,0.13215004,-71.539383,-39.336578,174.96573,95.203163,510.84351,78.24,68.49,72.92,37.5
CLAR9,Chile,Araucania,Ercilla,,2020-05-29,0.0,,,66.30458221020001,12.568359375,9288.017578125,1222.815795898438,0.1316552,-72.353325,-38.082355,66.197029,19.052643,138.60594,78.24,68.49,72.92,37.5
CLAR10,Chile,Araucania,Freire,,2020-05-29,17.0,,,26.708141321,21.72203254699707,28260.365234375,3946.653076171875,0.13965329999999998,-72.58770799999998,-38.954433,26.708141,13.67764,113.49693,78.24,68.49,72.92,37.5
CLAR11,Chile,Araucania,Galvarino,,2020-05-29,4.0,,,41.8998808105,11.36698627471924,9559.634765625,1357.082885742188,0.14195970000000002,-72.791542,-38.447956,41.880951,13.286325,102.45,78.24,68.49,72.92,37.5
CLAR12,Chile,Araucania,Gorbea,,2020-05-29,1.0,,,51.9399806389,15.297033309936518,15832.4287109375,2561.3603515625,0.16177937,-72.66926600000002,-39.171856,51.93998,19.354,113.43079,78.24,68.49,72.92,37.5
CLAR13,Chile,Araucania,Lautaro,,2020-05-29,5.0,,,36.6412157153,29.97822761535645,40500.5859375,4997.02734375,0.12338161,-72.289185,-38.543293,36.62148300000001,19.999546,143.7726,78.24,68.49,72.92,37.5
CLAR14,Chile,Araucania,Loncoche,,2020-05-29,14.0,,,68.2511945392,14.28406047821045,20926.1484375,3096.348388671875,0.14796552,-72.583237,-39.355911,68.249313,20.825989,131.26981,78.24,68.49,72.92,37.5
CLAR15,Chile,Araucania,Lonquimay,,2020-05-29,1.0,,,196.74465537900002,2.264913082122803,13211.23828125,1552.580078125,0.11751965,-71.239075,-38.474598,196.74471,77.628525,357.93365,78.24,68.49,72.92,37.5
CLAR16,Chile,Araucania,Los Sauces,,2020-05-29,1.0,,,73.52388535029999,4.165232181549071,5223.20068359375,803.500732421875,0.15383302,-72.796616,-37.98262,73.523888,22.830585,147.23805,78.24,68.49,72.92,37.5
