id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLAI01,Chile,Aysen,Aysen,,2020-07-19,0.0,,,0.646231055,31838.51172,2961.577393,0.093018711,-73.7746582,-45.98985291,771.6065674,581.600647,2229.661865,84.72,76.82,77.08,75.0
CLAI10,Chile,Aysen,Rio Ibanez,,2020-07-19,0.0,,,0.187047765,1796.032593,316.0137634,0.17595102,-72.48690796,-46.29960632,335.1505432,262.3939819,610.5098877,84.72,76.82,77.08,75.0
CLAI11,Chile,Aysen,Tortel,,2020-07-19,0.0,,,0.024284448,837.1820679,79.7374115,0.095245004,-74.15452576,-48.03258133,1040.727539,754.47052,2679.1826170000004,84.72,76.82,77.08,75.0
CLAI02,Chile,Aysen,Chile Chico,,2020-07-19,0.0,,,0.7168576720000001,6400.105469,836.7894897000001,0.1307462,-72.58692169,-46.76716995,472.8200378,316.4737854,775.0253906,84.72,76.82,77.08,75.0
CLAI03,Chile,Aysen,Cisnes,,2020-07-19,0.0,,,0.255859166,6383.430176,478.5259705,0.074963763,-73.13668823,-44.45694351,491.2130127,322.05725099999995,1366.399902,84.72,76.82,77.08,75.0
CLAI04,Chile,Aysen,Cochrane,,2020-07-19,0.0,,,0.186544374,2720.190186,257.9667969,0.094834104,-72.74240112,-47.35908508,557.5540771000002,342.14996339999993,765.4782104,84.72,76.82,77.08,75.0
CLAI05,Chile,Aysen,Coyhaique,,2020-07-19,0.0,,,5.74793005,69302.78906,6571.308594,0.094820261,-71.99221802,-45.55438995,196.3612823,161.7566986,526.6226807,84.72,76.82,77.08,75.0
CLAI07,Chile,Aysen,Guaitecas,,2020-07-19,0.0,,,1.912830591,1930.046021,184.2267303,0.095451988,-73.81375885,-43.94576645,387.0308838,311.6833191,3315.609375,84.72,76.82,77.08,75.0
CLAI08,Chile,Aysen,Lago Verde,,2020-07-19,0.0,,,0.096706823,854.4047852,103.8806992,0.12158254,-71.83430481,-44.49248123,509.2729492,331.5133362,1145.58667,84.72,76.82,77.08,75.0
CLAI09,Chile,Aysen,OHiggins,,2020-07-19,0.0,,,0.088748075,1151.861328,101.6730194,0.088268451,-72.88142395,-48.46712875,802.0440062999999,520.973999,1281.3747560000004,84.72,76.82,77.08,75.0
CLAN01,Chile,Antofagasta,Antofagasta,,2020-07-19,0.0,-0.5202899999999999,0.48214,11.79034615,463608.2188,44926.34766,0.09690585,-69.40526581,-24.27830315,435.6481934,270.5905762,991.27948,84.72,76.82,77.08,75.0
CLAN10,Chile,Antofagasta,Tocopilla,,2020-07-19,0.0,-0.42527,0.44179,3.464137793,17982.33984,2166.70166,0.12049053,-70.01753235,-22.00279617,294.6904602,176.8412323,659.6467285,84.72,76.82,77.08,75.0
CLAN02,Chile,Antofagasta,Calama,,2020-07-19,0.0,,,8.281150817999999,162293.9844,11174.10254,0.068850994,-68.62932587,-22.16810417,260.7976685,221.5634766,871.7990722999998,84.72,76.82,77.08,75.0
CLAN04,Chile,Antofagasta,Maria Elena,,2020-07-19,0.0,,,0.112921625,1755.366699,66.39505768,0.037824038,-69.46583557,-22.09416389,322.6397705,268.0023193,881.1043091,84.72,76.82,77.08,75.0
CLAN05,Chile,Antofagasta,Mejillones,,2020-07-19,0.0,,,3.072729111,13928.68066,1029.512817,0.073913164,-70.20349121,-22.947752,266.83358760000004,132.3953705,792.8804321,84.72,76.82,77.08,75.0
CLAN06,Chile,Antofagasta,Ollague,,2020-07-19,0.0,,,0.054742143,201.7247925,13.93565083,0.069082491,-68.31545258,-21.45728302,247.0128326,187.1552887,936.5614014,84.72,76.82,77.08,75.0
CLAN07,Chile,Antofagasta,San Pedro de Atacama,,2020-07-19,0.0,,,0.597181201,17920.21289,2139.865234,0.1194107,-67.90957642,-23.40393066,353.6208496000001,233.2176666,1214.732788,84.72,76.82,77.08,75.0
CLAN08,Chile,Antofagasta,Sierra Gorda,,2020-07-19,0.0,,,0.381903976,6261.315918,290.7573242,0.046437096,-69.30891418,-23.26022148,316.4871216,230.1000671,926.4569702,84.72,76.82,77.08,75.0
