Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
7326,Colombia,Amazonas,El Encanto (Cd),,CO091263,2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091263,,,,,,,,,,,,,,,,,,,
7649,Colombia,Amazonas,La Chorrera (Cd),,CO091405,2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091405,,,,,,,,,,,,,,,,,,,
7972,Colombia,Amazonas,La Pedrera (Cd),,CO091407,2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091407,,,,,,,,,,,,,,,,,,,
8295,Colombia,Amazonas,Leticia,,CO091001,2020-05-18,137,,,-0.38843,0.31088000000000005,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091001,,,,,,,,,,,,,,,,,,,
8618,Colombia,Amazonas,Puerto Nariño,,CO091540,2020-05-18,39,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091540,,,,,,,,,,,,,,,,,,,
8941,Colombia,Amazonas,Puerto Santander (Cd),,CO091669,2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091669,,,,,,,,,,,,,,,,,,,
9264,Colombia,Amazonas,Tarapaca (Cd),,CO091798,2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO091798,,,,,,,,,,,,,,,,,,,
9587,Colombia,Antioquia,Abejorral,,CO05002,2020-05-18,0,,,-0.25751999999999997,0.2996,,,,,,,68.037037037,48.062320709228494,28549.01953125,2523.39453125,0.08838813,-75.438477,5.8037281,68.040474,29.917398,117.26307,0.0,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO05002,20.353662109375,27.112054443359398,13.6465087890625,15.9076171875,4.446044921875,75.6170634007683,0.0136651447589715,0.42378664016723605,0.434744626283646,0.43602743744850203,0.430627435445786,82221.6484375,1447838.625,-357051.125,-0.00016250732005573798,1.04598538018763,-0.639368176460266,0.134820461273193,ERA5
9910,Colombia,Antioquia,Abriaqui,,CO05004,2020-05-18,0,,,,,,,,,,,388.28285714300006,11.5401973724365,4004.44873046875,353.68771362304705,0.08832369699999999,-76.085976,6.6275692,389.49289,193.63216,377.8718,0.0,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO05004,19.8998046875,24.8993469238281,15.716729736328098,16.895928955078098,3.00387573242188,82.8252086169207,0.0146578178603368,0.39166292548179604,0.394791036844254,0.34797903895378096,0.34280788898468,81634.4765625,1353267.375,-399342.09375,-0.0001555308845127,17.1245187520981,0.13288955390453303,-0.42429009079933205,ERA5
10233,Colombia,Antioquia,Alejandria,,CO05021,2020-05-18,0,,,,,,,,,,,85.6578947368,34.2776603698731,5278.75927734375,466.239562988281,0.088323705,-75.090599,6.3655343,85.695366,49.401534999999996,200.37749,0.0,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO05021,23.341424560546898,29.95986328125,17.8296752929688,18.5769592285156,4.76446533203125,74.5921475405625,0.0151923736566695,0.39704263210296603,0.40010479092598,0.38479194045066795,0.39156663417816207,87568.4765625,1726903.125,-484978.46875,-0.00014834241301287,6.450850982218981,-0.437058418989182,0.147359952330589,ERA5
10556,Colombia,Antioquia,Amaga,,CO05030,2020-05-18,0,,,,,,,,,,,20.8421052632,383.905914306641,36854.96875,3255.1669921875,0.08832369699999999,-75.708,6.0329218000000004,20.842106,19.967968,113.67368,0.0,5,IMPLEMENTED,3,1.0,16295.0,592.0,87.04,81.25,82.14,75.0,2020-05-18,CO05030,21.2461181640625,28.9400268554688,15.472467041015598,16.279351806640598,4.966766357421879,73.29160190288421,0.0138225485617486,0.308088481426239,0.279108703136444,0.23960441350936898,0.27546301484108,83237.78125,1475444.5,-323594.0625,-0.00017717322043608898,7.64383282512426,-0.344605028629303,0.464668214321136,ERA5
