id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
COAMA91263,Colombia,Amazonas,El Encanto (Cd),,2020-07-30,0.0,,,3073.61996716,0.68814284,8795.8418,411.47516,0.046780646,-72.723618,-1.9972348,3073.5347,2664.522,5203.3813,87.04,80.21,80.95,75.0
COAMA91405,Colombia,Amazonas,La Chorrera (Cd),,2020-07-30,0.0,,,4630.8715658,0.46367213,6900.8325,324.14862,0.046972394,-72.760483,-1.2404948,4630.7852,3261.4827,3828.7329,87.04,80.21,80.95,75.0
COAMA91407,Colombia,Amazonas,La Pedrera (Cd),,2020-07-30,0.0,,,4860.68666917,0.46482471,7324.7075,344.14056,0.046983520999999986,-70.03830699999999,-1.427143,4860.7539,3291.2581,5831.9541,87.04,80.21,80.95,75.0
COAMA91001,Colombia,Amazonas,Leticia,,2020-07-30,1.0,-0.03443,0.16776,3612.06448042,10.829778,78061.039,3687.6992,0.047241226,-70.045135,-3.5300589,3612.0676,1898.7411,2544.3882,87.04,80.21,80.95,75.0
COAMA91669,Colombia,Amazonas,Puerto Santander (Cd),,2020-07-30,0.0,,,4559.26093532,0.28685409,4943.9302,231.44983,0.046814948,-71.938934,-1.1010326,4559.4243,2399.2273,2905.7683,87.04,80.21,80.95,75.0
COAMA91798,Colombia,Amazonas,Tarapaca (Cd),,2020-07-30,0.0,,,4386.96631403,0.72888154,7817.2549,366.01089,0.046820898,-70.006516,-2.4517941000000003,4386.9663,2993.2598,4820.2871,87.04,80.21,80.95,75.0
COANT05002,Colombia,Antioquia,Abejorral,,2020-07-30,0.0,,,68.037037037,48.062321,28549.02,2523.3945,0.08838813,-75.438477,5.8037281,68.040474,29.917398,117.26307,87.04,80.21,80.95,75.0
COANT05004,Colombia,Antioquia,Abriaqui,,2020-07-30,3.0,,,388.28285714300006,11.540197,4004.4487,353.68771,0.08832369699999999,-76.085976,6.6275692,389.49289,193.63216,377.8718,87.04,80.21,80.95,75.0
COANT05021,Colombia,Antioquia,Alejandria,,2020-07-30,0.0,,,85.6578947368,34.27766,5278.7593,466.23956,0.088323705,-75.090599,6.3655343,85.695366,49.401535,200.37749,87.04,80.21,80.95,75.0
COANT05030,Colombia,Antioquia,Amaga,,2020-07-30,1.0,,,20.8421052632,383.90591,36854.969,3255.167,0.08832369699999999,-75.708,6.0329218,20.842106,19.967968,113.67368,87.04,80.21,80.95,75.0
COANT05031,Colombia,Antioquia,Amalfi,,2020-07-30,0.0,-0.41764,0.38332,287.700350877,20.239061,28860.902,2549.1016,0.08832369699999999,-74.981239,6.977788900000001,287.47931,173.35611,567.61261,87.04,80.21,80.95,75.0
COANT05034,Colombia,Antioquia,Andes,,2020-07-30,1.0,-0.15750999999999998,0.3227,264.963829787,120.48511,56628.0,5002.1162,0.088332914,-75.924591,5.6239524,264.96384,153.78564,249.31915,87.04,80.21,80.95,75.0
COANT05036,Colombia,Antioquia,Angelopolis,,2020-07-30,0.0,,,42.2916666667,119.65946,11487.309,1014.6016,0.08832369699999999,-75.71595,6.1214304,41.877552,22.131727,60.57143000000001,87.04,80.21,80.95,75.0
COANT05038,Colombia,Antioquia,Angostura,,2020-07-30,0.0,,,105.24747474700001,50.544861,20066.309,1772.3307,0.088323705,-75.358315,6.8614988,105.24747,31.235825,157.65152,87.04,80.21,80.95,75.0
COANT05040,Colombia,Antioquia,Anori,,2020-07-30,1.0,-0.3172,0.39274,311.963942308,12.687337,21149.791,1868.0278,0.088323705,-75.10849,7.1931109,312.01382,184.61603,547.64459,87.04,80.21,80.95,75.0
COANT05044,Colombia,Antioquia,Anza,,2020-07-30,0.0,,,147.390728477,35.352974,10605.893,936.75165,0.08832369699999999,-75.91259000000002,6.3080401,147.39073,66.116455,173.78808999999995,87.04,80.21,80.95,75.0
COANT05045,Colombia,Antioquia,Apartado,,2020-07-30,81.0,-0.16645,0.32935,143.477707006,287.12778,181751.88,16051.975,0.088318072,-76.566956,7.896136299999998,143.33386000000004,73.118401,185.29393,87.04,80.21,80.95,75.0
COANT05051,Colombia,Antioquia,Arboletes,,2020-07-30,1.0,-0.26781,0.34782,189.239910314,45.182949,40303.191,3555.2107,0.088211641,-76.41478000000002,8.6113949,189.23991,66.709885,359.70627,87.04,80.21,80.95,75.0
COANT05055,Colombia,Antioquia,Argelia,,2020-07-30,0.0,,,329.86759581900003,48.137375,13863.563999999997,1225.5828,0.08840315,-75.094696,5.708114599999999,329.86758,157.00742,445.27179,87.04,80.21,80.95,75.0
COANT05059,Colombia,Antioquia,Armenia,,2020-07-30,0.0,,,56.8139534884,56.400574,7162.873000000001,632.65143,0.08832369699999999,-75.809952,6.1636839000000005,56.81395300000001,35.448784,159.75968999999995,87.04,80.21,80.95,75.0
COANT05079,Colombia,Antioquia,Barbosa,,2020-07-30,5.0,-0.14655,0.30755,31.2753036437,239.51097,57961.652,5119.3877,0.088323705,-75.329239,6.443418,31.275303000000005,12.032843,72.47773000000002,87.04,80.21,80.95,75.0
COANT05088,Colombia,Antioquia,Bello,,2020-07-30,191.0,-0.15737,0.33648,13.260115606900001,2987.1504,510802.72,45115.984,0.08832369699999999,-75.589737,6.3588409000000015,13.30814,16.634048,71.296509,87.04,80.21,80.95,75.0
COANT05086,Colombia,Antioquia,Belmira,,2020-07-30,0.0,,,106.951704545,24.984085,8794.3984,776.75378,0.08832369699999999,-75.65385400000002,6.653662700000001,106.95171,47.228329,160.01137,87.04,80.21,80.95,75.0
COANT05091,Colombia,Antioquia,Betania,,2020-07-30,0.0,,,271.041474654,72.698555,15630.19,1380.0592,0.08829446099999999,-75.98689300000002,5.727081299999999,271.04147,169.06645,281.25806,87.04,80.21,80.95,75.0
COANT05093,Colombia,Antioquia,Betulia,,2020-07-30,0.0,,,128.466019417,71.651924,21997.139,1942.8688,0.088323705,-75.95649,6.1857834,128.46602,44.74371,158.50485,87.04,80.21,80.95,75.0
COANT05101,Colombia,Antioquia,Bolivar,,2020-07-30,1.0,-0.1004,0.28698,172.68524590200002,124.71513,38412.262,3388.4885,0.08821371900000001,-76.010651,5.8409958,172.68524,51.986485,117.31475,87.04,80.21,80.95,75.0
COANT05107,Colombia,Antioquia,Briceno,,2020-07-30,0.0,,,172.77303370799999,28.126675,12375.736,1093.0708,0.08832369699999999,-75.56223299999998,7.1117883,172.77303999999995,91.191246,357.28763,87.04,80.21,80.95,75.0
