id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
ECA0101,Ecuador,Azuay,Cuenca,,2020-03-30,1.0,,,163.9458675,611845.9777,51992.22559,0.08497600300000001,-79.21998322,-2.8614753910000004,115.69785520000002,63.57477702,255.0158177,93.52,72.66,75.89,50.0
ECA0102,Ecuador,Azuay,Giron,,2020-03-30,0.0,,,36.74701102,15213.26256,2185.027008,0.14362645,-79.15934165,-3.179486676,39.16707617,16.78151998,97.28009828,93.52,72.66,75.89,50.0
ECA0103,Ecuador,Azuay,Gualaceo,,2020-03-30,1.0,,,127.5274819,52413.79507,5893.672546,0.11244506,-78.84493133,-2.917848875,37.19950739,25.80206448,76.52216749,93.52,72.66,75.89,50.0
ECA0104,Ecuador,Azuay,Nabon,,2020-03-30,0.0,,,25.87053005,19170.06276,2432.8460210000007,0.12690862,-79.11888276,-3.329783141,79.76510067,22.83426712,85.00268456,93.52,72.66,75.89,50.0
ECA0105,Ecuador,Azuay,Paute,,2020-03-30,1.0,,,99.14803766,31429.92794,3866.837013,0.12303042,-78.68166452,-2.710826563,37.85266458,21.38283047,105.9341693,93.52,72.66,75.89,50.0
ECA0106,Ecuador,Azuay,Pucara,,2020-03-30,0.0,,,17.82115377,12278.77495,1457.078345,0.11866643,-79.52749603,-3.192427141,132.6401734,79.75224651,283.9436416000001,93.52,72.66,75.89,50.0
ECA0107,Ecuador,Azuay,San Fernando,,2020-03-30,0.0,,,29.43985668,4887.016209,800.9729083,0.16389816,-79.26803015,-3.132711917,76.60946746,35.19231334,197.260355,93.52,72.66,75.89,50.0
ECA0108,Ecuador,Azuay,Santa Isabel,,2020-03-30,0.0,,,31.49585871,22173.08453,2410.898557,0.10873086,-79.36348171,-3.202338424,98.9844413,36.77445778,195.0664781,93.52,72.66,75.89,50.0
ECA0109,Ecuador,Azuay,Sigsig,,2020-03-30,1.0,,,41.33113331,32610.26418,3962.963821,0.12152504,-78.85390493,-3.129850837,98.20807062,57.82596284,161.33669609999995,93.52,72.66,75.89,50.0
ECA0110,Ecuador,Azuay,Ona,,2020-03-30,0.0,,,12.69579567,4354.657915,716.0005399,0.16442177,-79.1306218,-3.4891811180000003,93.79351032,37.33893815,120.1415929,93.52,72.66,75.89,50.0
ECA0111,Ecuador,Azuay,Chordeleg,,2020-03-30,0.0,,,117.6385139,14351.8987,1736.054154,0.12096338,-78.73352521,-2.995709554,64.84677419,41.8548315,99.04032258,93.52,72.66,75.89,50.0
ECA0112,Ecuador,Azuay,El Pan,,2020-03-30,0.0,,,23.78021007,3662.15235,765.9317639999998,0.20914797,-78.65468777,-2.8577357130000003,174.2774194,147.3572107,202.5483871,93.52,72.66,75.89,50.0
ECA0113,Ecuador,Azuay,Sevilla De Oro,,2020-03-30,0.0,,,19.32059828,7090.659570000002,902.4694023,0.12727581,-78.54195451,-2.659535162,140.0,117.0994918,344.58196719999995,93.52,72.66,75.89,50.0
ECA0114,Ecuador,Azuay,Guachapala,,2020-03-30,0.0,,,88.28476257,3972.814316,643.3166432,0.1619297,-78.69654048,-2.783194078,32.36363636,8.853318968,70.97727273,93.52,72.66,75.89,50.0
