id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
ECA,Ecuador,Azuay,,,2020-08-05,136.0,,,100.1199289,89.88943499999998,859882.38,80962.07,0.09415482,-79.15422099999998,-3.0141335,100.11993,54.337708,206.51924,76.39,68.49,67.56,75.0
ECB,Ecuador,Bolivar,,,2020-08-05,1.0,,,84.9061884977,43.844322,200280.86,29143.262,0.14551197,-79.106895,-1.5872494,84.915352,39.724289,158.13846,76.39,68.49,67.56,75.0
ECF,Ecuador,Canar,,,2020-08-05,27.0,,,105.34779260799999,65.632118,256096.53,26623.027,0.103957,-79.030403,-2.5324162999999995,105.33863999999998,52.56622700000001,207.83311,76.39,68.49,67.56,75.0
ECC,Ecuador,Carchi,,,2020-08-05,52.0,,,184.20329277,44.643456,187547.16,19132.33,0.10201344,-78.064018,0.75172871,184.2525,135.43462,252.66905,76.39,68.49,67.56,75.0
ECH,Ecuador,Chimborazo,,,2020-08-05,15.0,,,111.15523747600001,69.015167,530381.56,56497.914,0.10652315,-78.72075699999998,-1.9750051,111.15912,85.209709,285.41687,76.39,68.49,67.56,75.0
ECX,Ecuador,Cotopaxi,,,2020-08-05,16.0,,,91.6319944598,67.594414,487626.09,45938.332,0.094208106,-78.856461,-0.85798764,91.617699,66.07164,259.64801,76.39,68.49,67.56,75.0
ECO,Ecuador,El Oro,,,2020-08-05,4.0,,,-141.89918533600002,101.7453,698379.75,53104.109,0.076039016,-79.832512,-3.509433,61.53615600000001,41.18037,165.44841,76.39,68.49,67.56,75.0
ECE,Ecuador,Esmeraldas,,,2020-08-05,13.0,,,145.89499026200002,33.367428000000004,615729.13,38880.234,0.063145034,-79.22177099999998,0.70542401,324.6441700000001,206.86523,484.21762,76.39,68.49,67.56,75.0
ECW,Ecuador,Galapagos,,,2020-08-05,0.0,,,3374.89205093,3.5837007000000005,33461.016,1802.3702,0.053864781,-90.899963,-0.54820687,3704.7744,300.97418,1137.8541,76.39,68.49,67.56,75.0
ECG,Ecuador,Guayas,,,2020-08-05,40.0,,,-115.871533398,238.32462,4400425.5,309620.78,0.070361555,-79.888664,-2.1174173,67.71204399999999,44.55019,195.21767,76.39,68.49,67.56,75.0
ECI,Ecuador,Imbabura,,,2020-08-05,44.0,,,164.492395777,84.90070300000002,474849.66,47945.852,0.1009706,-78.37088,0.40535682,164.3226,100.35618,321.7785,76.39,68.49,67.56,75.0
ECL,Ecuador,Loja,,,2020-08-05,35.0,,,88.4560456508,38.803032,503236.5,55039.426,0.10937089,-79.65585300000002,-4.0900502,88.46221899999998,47.552982,185.11673,76.39,68.49,67.56,75.0
ECR,Ecuador,Los Rios,,,2020-08-05,7.0,,,51.554233894700005,112.01577,953702.25,68997.531,0.072347037,-79.491447,-1.3435687,51.553291,32.558506,148.36827,76.39,68.49,67.56,75.0
ECM,Ecuador,Manabi,,,2020-08-05,23.0,,,9.25286802697,70.890846,1617729.0,126007.17,0.077891394,-80.136673,-0.75129431,53.713028,35.188765999999994,202.48068,76.39,68.49,67.56,75.0
ECS,Ecuador,Morona Santiago,,,2020-08-05,16.0,,,666.361532152,6.962531599999998,195166.72,10617.979,0.054404657,-78.007538,-2.5639901000000003,666.3493,431.1879,712.02734,76.39,68.49,67.56,75.0
ECN,Ecuador,Napo,,,2020-08-05,0.0,,,394.01797061800005,11.768402,172077.58,8511.1289,0.049461,-77.821884,-0.65702081,393.97296,343.55542,868.0900300000002,76.39,68.49,67.56,75.0
ECD,Ecuador,Orellana,,,2020-08-05,4.0,,,721.86236789,8.9558868,226270.48,9496.7744,0.041970894,-76.374527,-0.78442776,721.93829,455.47849,983.19604,76.39,68.49,67.56,75.0
ECY,Ecuador,Pastaza,,,2020-08-05,61.0,,,1299.55965217,3.4212267,118032.32,6508.2358,0.055139437,-76.87973000000002,-1.7167745,1299.5603,1001.1218,2482.145,76.39,68.49,67.56,75.0
ECP,Ecuador,Pichincha,,,2020-08-05,351.0,,,68.9786714867,292.0311,3229572.0,243425.89,0.075374037,-78.593559,-0.10490531,68.97577700000001,51.415497,185.04527,76.39,68.49,67.56,75.0
ECSE,Ecuador,Santa Elena,,,2020-08-05,1.0,,,35.132407407399995,90.67247,391342.38,26127.875,0.06676475,-80.577751,-2.1394958,74.784515,43.843994,153.42702,76.39,68.49,67.56,75.0
ECSD,Ecuador,Sto. Domingo Tsachilas,,,2020-08-05,21.0,,,40.7464277614,122.36888,539524.38,32979.738,0.061127428,-79.20002,-0.28427723,40.733273,35.310833,223.42595,76.39,68.49,67.56,75.0
ECU,Ecuador,Sucumbios,,,2020-08-05,4.0,,,518.386232995,11.94436,250580.72,11684.229,0.046628606,-76.589104,-0.015540713,518.95978,441.55478,933.72296,76.39,68.49,67.56,75.0
ECT,Ecuador,Tungurahua,,,2020-08-05,32.0,,,106.53987884899999,148.08504,586120.56,58847.477,0.10040165,-78.507149,-1.2943782,106.53988,109.29972,255.13023,76.39,68.49,67.56,75.0
ECZ,Ecuador,Zamora Chinchipe,,,2020-08-05,0.0,,,347.800502594,9.0131788,111303.74,6999.312,0.062884785,-78.903839,-4.1695094,347.7843,242.35048,459.95816,76.39,68.49,67.56,75.0
