Unnamed: 0,admin0,admin1,admin2,admin3,id,date,cases,excess_deaths,expected_deaths,movement_fb,non_moving_fb,grocery_pharmacy_mobility,parks_mobility,workplaces_mobility,residential_mobility,retail_recreation_mobility,transit_mobility,accessibility,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,incidence,num_policies,household_confinement,H8_Protection of elderly people,H8_Flag,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,Date,ID,T,Tmax,Tmin,Td,Tdd,RH,SH,SM1,SM2,SM3,SM4,SP,SR,LH,PE,P,U,V,Source
12,Ecuador,Azuay,,,ECA,2021-01-12,47,0.0,0.0,-0.09691749999999999,0.25420625,,,,,,,100.1199289,89.88943481445308,859882.375,80962.0703125,0.09415482,-79.15422099999999,-3.0141335,100.11993000000001,54.337708,206.51924,5.4658638630661605,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECA,,,,,,,,,,,,,,,,,,,
314,Ecuador,Bolivar,,,ECB,2021-01-12,7,0.0,0.0,-0.190634,0.24397600000000003,,,,,,,84.9061884977,43.844322204589794,200280.859375,29143.26171875,0.14551197,-79.106895,-1.5872494,84.915352,39.724289,158.13846,3.49509185343239,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECB,,,,,,,,,,,,,,,,,,,
616,Ecuador,Canar,,,ECF,2021-01-12,33,0.0,0.0,-0.00533,0.196974,,,,,,,105.34779260799999,65.6321182250977,256096.53125,26623.02734375,0.103957,-79.030403,-2.5324162999999995,105.33863999999998,52.566227000000005,207.83311,12.885766097232098,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECF,,,,,,,,,,,,,,,,,,,
918,Ecuador,Carchi,,,ECC,2021-01-12,3,0.0,0.0,-0.21622800000000003,0.26513400000000004,,,,,,,184.20329277,44.6434555053711,187547.15625,19132.330078125,0.10201344,-78.064018,0.75172871,184.2525,135.43462,252.66905,1.59959770117815,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECC,,,,,,,,,,,,,,,,,,,
1220,Ecuador,Chimborazo,,,ECH,2021-01-12,20,0.0,0.0,-0.105458,0.23943000000000003,,,,,,,111.15523747600001,69.01516723632811,530381.5625,56497.9140625,0.10652315,-78.72075699999999,-1.9750051,111.15912,85.209709,285.41687,3.77087014596213,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECH,,,,,,,,,,,,,,,,,,,
1522,Ecuador,Cotopaxi,,,ECX,2021-01-12,8,0.0,0.0,-0.141985,0.25255,,,,,,,91.6319944598,67.5944137573242,487626.09375,45938.33203125,0.094208106,-78.856461,-0.85798764,91.617699,66.07164,259.64801,1.6406012931911498,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECX,,,,,,,,,,,,,,,,,,,
1824,Ecuador,El Oro,,,ECO,2021-01-12,49,0.0,0.0,-0.12209222222222198,0.317292222222222,,,,,,,-141.89918533600002,101.74530029296899,698379.75,53104.109375,0.076039016,-79.832512,-3.509433,61.536156000000005,41.18037,165.44841,7.01624009000834,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECO,,,,,,,,,,,,,,,,,,,
2126,Ecuador,Esmeraldas,,,ECE,2021-01-12,9,0.0,0.0,-0.15245166666666699,0.32725,,,,,,,145.89499026200002,33.3674278259277,615729.125,38880.234375,0.063145034,-79.22177099999999,0.70542401,324.64417000000003,206.86523,484.21762,1.46168170946924,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECE,,,,,,,,,,,,,,,,,,,
2428,Ecuador,Galapagos,,,ECW,2021-01-12,18,0.0,0.0,-0.19150999999999999,0.20207999999999998,,,,,,,3374.89205093,3.5837006568908705,33461.015625,1802.37023925781,0.053864780999999994,-90.899963,-0.54820687,3704.7744,300.97418,1137.8541,53.7939439786505,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECW,,,,,,,,,,,,,,,,,,,
2730,Ecuador,Guayas,,,ECG,2021-01-12,252,0.0,0.0,-0.0447404545454545,0.309428636363636,,,,,,,-115.871533398,238.324615478516,4400425.5,309620.78125,0.070361555,-79.888664,-2.1174173,67.71204399999999,44.55019,195.21767,5.7267189275218895,0,NOT_IMPLEMENTED,2,1.0,222567.0,14196.0,69.44,64.58,63.1,75.0,2021-01-12,ECG,,,,,,,,,,,,,,,,,,,
