id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
PEAMA010202,Peru,Amazonas,Bagua,Aramango,2021-04-27,1.0,,,10.22106457,9812.22168,524.7097168,0.053475119,-78.44833374,-5.380432129,379.0093689,252.382309,416.8232727,75.93,70.42,73.33,50.0
PEAMA010201,Peru,Amazonas,Bagua,Bagua,2021-04-27,1.0,,,159.48768619999996,25039.56641,1333.827515,0.053268794,-78.52098083,-5.580913067000001,121.7142868,12.496521,93.18012238,75.93,70.42,73.33,50.0
PEAMA010203,Peru,Amazonas,Bagua,Copallin,2021-04-27,0.0,,,49.03665543,5933.435059,317.73391719999995,0.05354974,-78.39975739,-5.64770031,287.4700928000001,156.46218869999996,230.0341949,75.93,70.42,73.33,50.0
PEAMA010204,Peru,Amazonas,Bagua,El Parco,2021-04-27,0.0,,,85.44499969,1965.235107,104.5932236,0.053221736,-78.47396851,-5.622638226,132.1904755,13.0769062,86.57142639,75.93,70.42,73.33,50.0
PEAMA010205,Peru,Amazonas,Bagua,Imaza,2021-04-27,1.0,,,4.519476414,24332.86133,1272.290649,0.05228693,-78.38959503,-4.991331577,925.5713501,798.6248168999998,1404.57019,75.93,70.42,73.33,50.0
PEAMA010206,Peru,Amazonas,Bagua,La Peca,2021-04-27,1.0,,,43.69057846,6946.802245999998,369.7208862,0.053221736,-78.44541168,-5.591976643,211.5304871,90.44914246,202.4938965,75.93,70.42,73.33,50.0
PEAMA010302,Peru,Amazonas,Bongara,Chisquilla,2021-04-27,0.0,,,1.947698116,364.219574,27.6015358,0.075782679,-77.72579193,-5.894847392999999,597.7089844,474.1340027,508.9894104,75.93,70.42,73.33,50.0
PEAMA010303,Peru,Amazonas,Bongara,Churuja,2021-04-27,0.0,,,6.400126933999998,236.8046875,18.17090797,0.076733731,-77.93036652,-6.007796288,143.921051,82.43085479999998,387.26315310000007,75.93,70.42,73.33,50.0
PEAMA010304,Peru,Amazonas,Bongara,Corosha,2021-04-27,0.0,,,16.79526138,1276.439819,96.77592468,0.075817071,-77.81072235,-5.817518711,231.8205109,127.4179077,244.7051239,75.93,70.42,73.33,50.0
PEAMA010305,Peru,Amazonas,Bongara,Cuispes,2021-04-27,0.0,,,8.243779182,939.7907715,71.25218201,0.075817071,-77.91479492,-5.91114521,167.3928528,117.6904602,512.7321166999999,75.93,70.42,73.33,50.0
